"route","title","word_count","canonical","robots","internal_links","external_links","classification","recommendation"
"minnesota-veteran-benefits.html","Minnesota Veteran Benefits 2026 | State Benefits & Programs","2652","https://veterancareerpath.com/minnesota-veteran-benefits.html","","392","0","state_benefits_sources_review","add official current state/VA sources or noindex"
"mississippi-veteran-benefits.html","Mississippi Veteran Benefits 2026 | Tax-Free Retirement & Programs","2673","https://veterancareerpath.com/mississippi-veteran-benefits.html","","392","0","state_benefits_sources_review","add official current state/VA sources or noindex"
"missouri-veteran-benefits.html","Missouri Veteran Benefits 2026 | Tax-Free Retirement & Programs","2673","https://veterancareerpath.com/missouri-veteran-benefits.html","","392","0","state_benefits_sources_review","add official current state/VA sources or noindex"
"montana-veteran-benefits.html","Montana Veteran Benefits 2026 | State Benefits & Programs","2652","https://veterancareerpath.com/montana-veteran-benefits.html","","392","0","state_benefits_sources_review","add official current state/VA sources or noindex"
"mos-career-translator.html","MOS to Civilian Job Translator | Find Your Career Match","1923","https://veterancareerpath.com/mos-career-translator.html","","398","0","standard_page","keep"
"mos/0100.html","0100 Basic Admin and Finance Marine Careers | VeteranCareerPath","3198","https://veterancareerpath.com/mos/0100.html","","408","11","mos_reference","keep"
"mos/0111.html","0111 Administrative Specialist Careers | VeteranCareerPath","3168","https://veterancareerpath.com/mos/0111.html","","408","11","mos_reference","keep"
"mos/0121.html","0121 Personnel and Human Resources Specialist | VeteranCareerPath","3197","https://veterancareerpath.com/mos/0121.html","","408","11","mos_reference","keep"
"mos/0161.html","0161 Postal Clerk Civilian Careers | USMC MOS to Civilian Jobs","3173","https://veterancareerpath.com/mos/0161.html","","408","11","mos_reference","keep"
"mos/0180.html","0180 Basic Personnel and Careers | VeteranCareerPath","3196","https://veterancareerpath.com/mos/0180.html","","408","11","mos_reference","keep"
"mos/0200.html","0200 Intelligence Marine Civilian Careers | VeteranCareerPath","3337","https://veterancareerpath.com/mos/0200.html","","408","20","mos_reference","keep"
"mos/0211.html","0211 Counterintelligence/HUMINT Specialist | VeteranCareerPath","3335","https://veterancareerpath.com/mos/0211.html","","408","20","mos_reference","keep"
"mos/0231.html","0231 Intelligence Specialist Civilian Careers | VeteranCareerPath","2883","https://veterancareerpath.com/mos/0231.html","","405","17","mos_reference","keep"
"mos/0241.html","0241 Imagery Analysis Specialist Careers | VeteranCareerPath","3346","https://veterancareerpath.com/mos/0241.html","","408","20","mos_reference","keep"
"mos/0261.html","0261 Geographic Intelligence Careers | VeteranCareerPath","3345","https://veterancareerpath.com/mos/0261.html","","408","20","mos_reference","keep"
